V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_GP,P_AD_DUTY,F_GP,F_AD_DUTY,REVIEW_INIT_GP,CHINA_OFFICIAL_CASE_ID,
Q4_2012,China,CHN-AD-44,CHN-AD-42,Russia,RUS,Styrene Butadine Rubber (SBR),03/20/2002,04/16/2003,04/16/2003,A,A,04/16/2003,AVD,09/09/2003,09/09/2003,A,A,09/09/2003,AVD,IF,IF,AVD,14.00,38.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.08/2003,16-46,Public Notice No.49/2003,14-38,Public Notice No.86/2004,0016AC2620020315 ,
Q4_2012,China,CHN-AD-45,CHN-AD-45,Kazakhstan,KAZ,Cold-Rolled Steel Products,03/20/2002,05/20/2003,05/20/2003,A,A,05/20/2003,AVD,09/24/2003,09/24/2003,A,A,09/24/2003,AVD,09/23/2008,2008,AVD,14.00,48.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.17/2003,21-48,Public Notice No.50/2003,14-48,Public Notice No.53/2004,0017AC3220020320,
Q4_2012,China,CHN-AD-46,CHN-AD-45,South Korea,KOR,Cold-Rolled Steel Products,03/20/2002,05/20/2003,05/20/2003,A,A,05/20/2003,AVD,09/24/2003,09/24/2003,A,A,09/24/2003,AVD,09/23/2008,2008,AVD,0.00,40.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.17/2003,9-40,Public Notice No.50/2003,0-40,Public Notice No.53/2004,0017AC3220020320,
Q4_2012,China,CHN-AD-47,CHN-AD-45,Taiwan,TWN,Cold-Rolled Steel Products,03/20/2002,05/20/2003,05/20/2003,A,A,05/20/2003,AVD,09/24/2003,09/24/2003,A,A,09/24/2003,AVD,09/23/2008,2008,AVD,6.00,55.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.17/2003,8-55,Public Notice No.50/2003,6-55,Public Notice No.53/2004,0017AC3220020320,
Q4_2012,China,CHN-AD-48,CHN-AD-45,Ukraine,UKR,Cold-Rolled Steel Products,03/20/2002,05/20/2003,05/20/2003,A,A,05/20/2003,AVD,09/24/2003,09/24/2003,A,A,09/24/2003,AVD,09/23/2008,2008,AVD,9.00,49.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.17/2003,12-22,Public Notice No.50/2003,9-49,Public Notice No.53/2004,0017AC3220020320,
Q4_2012,China,CHN-AD-49,CHN-AD-45,Russia,RUS,Cold-Rolled Steel Products,03/20/2002,05/20/2003,05/20/2003,A,A,05/20/2003,AVD,09/24/2003,09/24/2003,A,A,09/24/2003,AVD,09/23/2008,2008,AVD,7.00,29.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.17/2003,9-29,Public Notice No.50/2003,7-29,Public Notice No.53/2004,0017AC3220020320,
Q4_2012,China,CHN-AD-50,CHN-AD-50,Russia,RUS,Polyvinyl Chloride ,03/29/2002,05/12/2003,05/12/2003,A,A,05/12/2003,AVD,09/29/2003,09/29/2003,A,A,09/29/2003,AVD,IF,IF,AVD/PU,34.00,47.00,G/ADP/N/112/CHN,.,Public Notice No.15/2002,Public Notice No.11/2003,34-82,Public Notice No.48/2003,34-47,.,0018AC2620020329,
Q4_2012,China,CHN-AD-51,CHN-AD-50,South Korea,KOR,Polyvinyl Chloride ,03/29/2002,05/12/2003,05/12/2003,A,A,05/12/2003,AVD,09/29/2003,09/29/2003,A,A,09/29/2003,AVD,IF,IF,AVD,6.00,76.00,G/ADP/N/112/CHN,.,Public Notice No.15/2002,Public Notice No.11/2003,10-76,Public Notice No.48/2003,6-76,.,0018AC2620020329,
Q4_2012,China,CHN-AD-52,CHN-AD-50,USA,USA,Polyvinyl Chloride ,03/29/2002,05/12/2003,05/12/2003,A,A,05/12/2003,AVD,09/29/2003,09/29/2003,A,A,09/29/2003,AVD,IF,IF,AVD,11.00,83.00,G/ADP/N/112/CHN,.,Public Notice No.15/2002,Public Notice No.11/2003,25-83,Public Notice No.48/2003,11-83,.,0018AC2620020329,
Q4_2012,China,CHN-AD-53,CHN-AD-50,Japan,JPN,Polyvinyl Chloride ,03/29/2002,05/12/2003,05/12/2003,A,A,05/12/2003,AVD,09/29/2003,09/29/2003,A,A,09/29/2003,AVD,IF,IF,AVD,7.00,84.00,G/ADP/N/112/CHN,.,Public Notice No.15/2002,Public Notice No.11/2003,32-115,Public Notice No.48/2003,7-84,.,0018AC2620020329,
