"","DSU_Case_mod","CASE_ID","s.ccodeIMP","IMP_DATE","t.ccodeIMP","i.date","t.ccodeINV","s.ccodeINV","V_NUMBER.x","AD_CTY_NAME","CASE_REPCODE","INV_CTY_NAME","INV_CTY_CODE","PRODUCT","INIT_DATE","P_DUMP_DATE","P_INJ_DATE","P_DUMP_DEC","P_INJ_DEC","P_AD_DATE","P_AD_MEASURE","F_DUMP_DATE","F_INJ_DATE","F_DUMP_DEC","F_INJ_DEC","F_AD_DATE","F_AD_MEASURE","REVOKE_DATE","REVOKE_YEAR","WTO_F_AD_MEASURE","WTO_F_MARGIN_MIN","WTO_F_MARGIN_MAX","WTO_CITATION","s.polity2INV","s.democINV","s.democ.iINV","t.polity2INV","t.democ.iINV","wtopd","s.TX.VAL.AGRI.ZS.UNINV","t.TX.VAL.AGRI.ZS.UNINV","s.NE.TRD.GNFS.ZSINV","t.NE.TRD.GNFS.ZSINV","prevint","s.NY.GDP.PCAP.CDINV","t.NY.GDP.PCAP.CDINV","s.NY.GDP.MKTP.CDINV","t.NY.GDP.MKTP.CDINV","s.NE.EXP.GNFS.ZSINV","t.NE.EXP.GNFS.ZSINV","s.NV.AGR.TOTL.ZSINV","t.NV.AGR.TOTL.ZSINV","sdateINV","cdate","einitdate","t.tenureINV","s.tenureINV","eP_AD_DATE","s.NY.GDP.MKTP.CD_IMP","t.NY.GDP.MKTP.CD_IMP","s.NE.EXP.GNFS.ZS_IMP","t.NE.EXP.GNFS.ZS_IMP","s.NE.TRD.GNFS.ZS_IMP","t.NE.TRD.GNFS.ZS_IMP","s.NY.GDP.PCAP.CD_IMP","t.NY.GDP.PCAP.CD_IMP","s.NV.AGR.TOTL.ZS_IMP","t.NV.AGR.TOTL.ZS_IMP","WTOname.x","s.WTOdate","WTOname.y","t.WTOdate","t.WTOmem","s.WTOmem","t.GATTname","t.GATTdate","s.GATTname","s.GATTdate","s.GATTmem","t.GATTmem","t.polity2_IMP","t.democ_IMP","s.polity2_IMP","s.democ_IMP","s.democ.i_IMP","t.democ.i_IMP","V_NUMBER.y","AD.imposing.country","DSU_Case","DSU.case.descriptor","Exporting.Country","DSU_INIT_YR","AD_INIT_YR","AD_OTH_YR","unique","F_DATE","chal","pan_date","panel_date","panel.i"
"4512",NA,"THA-AD-34",800,"2005",850,2004,850,800,"Q2_2012","Thailand","THA-AD-34","Indonesia","IDN","Glass Block","8/9/04","MI","MI","A","A","3/24/05","MI","MI","MI","A","A","8/5/05","MI","8/4/10","2010","AVD","14.27","50.59","G/ADP/N/139/THA",9,9,1,8,1,1,4.765890441,4.984031583,136.5376958,59.76129216,1,2478.817568,1160.614924,1.61e+11,2.57e+11,70.69704858,32.2166932,10.30604012,14.33577983,"8/9/04",2004-08-09,2004-08-09,1112,1276,2005-03-24,1.76e+11,2.86e+11,73.56771066,34.06726688,148.2547812,63.98793448,2689.953147,1273.465176,10.26510621,13.12661836,"Thailand ",1995-01-01,"Indonesia ",1995-01-01,1,1,"Indonesia",1950-02-24,"Thailand",1982-11-20,1,1,8,8,9,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,0,NA,NA,0
"4513",NA,"THA-AD-35",800,"2007",710,2006,710,800,"Q2_2012","Thailand","THA-AD-35","China","CHN","Glass Block","7/19/06","MI","MI","A","A","4/5/07","MI","MI","MI","A","A","8/15/07","MI","8/15/12","2012","AVD","5.1","82.78","G/ADP/N/166/THA",-5,0,0,-7,0,1,5.267540207,0.47626229,143.8038715,70.55319578,1,3143.235855,2069.34363,2.07e+11,2.71e+12,73.64689515,39.12622529,10.76635523,11.11345205,"7/19/06",2006-07-19,2006-07-19,NA,NA,2007-04-05,2.47e+11,3.49e+12,73.42447336,38.39804741,138.4609529,67.98414918,3737.717255,2651.260119,10.67570638,10.76971034,"Thailand ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Thailand",1982-11-20,1,NA,-7,0,-1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,0,NA,NA,0
"4519",NA,"THA-AD-40",800,"2009",710,2008,710,800,"Q2_2012","Thailand","THA-AD-40","China","CHN","Sodium Tripolyphosphate","3/31/08","MI","MI","A","A","3/19/09","AVD","MI","MI","A","A","7/18/09","AVD","IF","IF","AVD","31.42","31.42","G/ADP/N/195/THA",4,5,0,-7,0,1,4.798852666,0.434411564,150.3260626,62.24882112,1,4118.401435,3413.588648,2.73e+11,4.52e+12,76.44460097,34.9816182,11.56045295,10.7315685,"3/31/08",2008-03-31,2008-03-31,NA,NA,2009-03-19,2.64e+11,4.99e+12,68.35167993,26.71609478,126.1573153,49.0212234,3978.905381,3748.504063,11.46469229,10.3331503,"Thailand ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Thailand",1982-11-20,1,NA,-7,0,4,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,0,NA,NA,0
"4521",NA,"THA-AD-42",800,"2011",710,2010,710,800,"Q2_2012","Thailand","THA-AD-42","China","CHN","Flat Hot Rolled in Coils and not in Coils","6/16/10","MI","MI","A","A","2/17/11","AVD","MI","MI","A","A","8/12/11","AVD","IF","IF","AVD","30.91","30.91","G/ADP/N/223/THA",4,5,0,-7,0,1,5.260267488,0.456645176,135.1415428,55.03337471,1,4802.662758,4433.340886,3.19e+11,5.93e+12,71.28576548,29.396777,12.38821549,10.09522,"6/16/10",2010-06-16,2010-06-16,NA,NA,2011-02-17,3.46e+11,7.32e+12,76.94351893,28.53028081,149.3504921,54.57721811,5192.118907,5447.309378,13.34214537,10.03716006,"Thailand ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Thailand",1982-11-20,1,NA,-7,0,7,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,0,NA,NA,0
"4522",NA,"THA-AD-43",800,"2011",820,2010,820,800,"Q2_2012","Thailand","THA-AD-42","Malaysia","MYS","Flat Hot Rolled in Coils and not in Coils","6/16/10","MI","MI","A","A","2/17/11","AVD","MI","MI","A","A","8/12/11","AVD","IF","IF","AVD","23.57","42.51","G/ADP/N/223/THA",4,5,0,6,1,1,5.260267488,2.641372546,135.1415428,169.662259,0,4802.662758,8754.24282,3.19e+11,2.48e+11,71.28576548,93.31616765,12.38821549,10.36136993,"6/16/10",2010-06-16,2010-06-16,NA,NA,2011-02-17,3.46e+11,2.89e+11,76.94351893,91.60680871,149.3504921,166.786213,5192.118907,10058.04302,13.34214537,11.79268589,"Thailand ",1995-01-01,"Malaysia ",1995-01-01,1,1,"Malaysia",1957-10-24,"Thailand",1982-11-20,1,1,6,6,7,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,0,NA,NA,0
"4529",NA,"THA-AD-5",800,"2002",710,2001,710,800,"Q2_2012","Thailand","THA-AD-5","China","CHN","Iron or Non-Alloy Steel: H Section","4/11/01","MI","MI","A","A","7/20/02","MI","MI","MI","A","A","10/10/02","MI","IF","IF","AVD","27.81","27.81","G/ADP/N/98/THA",9,9,1,-7,0,1,3.08006155,0.863739086,125.2229764,43.08019713,0,1831.902788,1041.6377,1.16e+11,1.32e+12,65.85660237,22.60010168,9.134212863,14.39172359,"4/11/01",2001-04-11,2001-04-11,1512,60,2002-07-20,1.27e+11,1.45e+12,64.1943345,25.13437343,121.6969998,47.69731271,1988.733736,1135.447952,9.434795124,13.74274917,"Thailand ",1995-01-01,"China ",2001-12-11,1,1,NA,NA,"Thailand",1982-11-20,1,NA,-7,0,9,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,0,NA,NA,0
"4545",NA,"THA-AD-9",800,"2002",994,2002,994,800,"Q2_2012","Thailand","THA-AD-8","European Union","EUN","Cold-Rolled Stainless Steel Flat Products","2/15/02","MI","MI","A","A","8/3/02","MI","MI","MI","A","A","3/13/03","MI","3/19/09","2009","AVD","10.02","25.57","G/ADP/N/105/THA",9,9,1,NA,1,1,3.641876593,1.513611807,121.6969998,69.17092307,1,1988.733736,19180.25766,1.27e+11,9.41e+12,64.1943345,35.25688032,9.434795124,2.09656721,"2/15/02",2002-02-15,2002-02-15,NA,370,2002-08-03,1.27e+11,9.41e+12,64.1943345,35.25688032,121.6969998,69.17092307,1988.733736,19180.25766,9.434795124,2.09656721,"Thailand ",1995-01-01,"European Union",1995-01-01,1,1,NA,NA,"Thailand",1982-11-20,1,NA,6,NA,9,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"4546",NA,"TTO-AD-1",52,"1998",920,1996,920,52,"Q4_2012","Trinidad and Tobago","TTO-AD-1","New Zealand","NZL","Cheddar Cheese","9/19/96","7/10/97","7/10/97","A","A","1/5/98","AVD","3/18/98","3/18/98","A","A","4/16/98","AVD","3/17/99","1999","PU","13.93","13.93","G/ADP/N/41/TTO",9,9,1,10,1,1,0.204207741,16.91626106,92.80711829,55.57395033,0,4577.000988,18639.95511,5759537848,69564312474,51.53012307,28.58482098,2.173775577,7.019798836,"9/19/96",1996-09-19,1996-09-19,2154,315,1998-01-05,6043710211,55640823201,48.46513115,29.92848494,102.2832356,58.5051839,4786.930366,14584.75051,2.181492078,6.465031399,"Trinidad and Tobago",1995-03-01,"New Zealand",1995-01-01,1,1,"New Zealand",1948-07-30,"Trinidad and Tobago",1962-10-23,1,1,10,10,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,0,NA,NA,0
"4549",NA,"TTO-AD-2",52,"1998",101,1998,101,52,"Q4_2012","Trinidad and Tobago","TTO-AD-2","Venezuela","VEN","Table Salt","9/4/98","11/4/98","11/4/98","A","A","12/31/98","AVD","12/31/98","12/31/98","A","A","5/27/99","AVD","4/16/04","2004","AVD","260","260","G/ADP/N/53/TTO",10,10,1,8,1,1,0.153295079,0.258423584,102.2832356,43.59939293,1,4786.930366,3889.609906,6043710211,91338542542,48.46513115,20.92048648,2.181492078,5.42015946,"9/4/98",1998-09-04,1998-09-04,1675,1030,1998-12-31,6043710211,91338542542,48.46513115,20.92048648,102.2832356,43.59939293,4786.930366,3889.609906,2.181492078,5.42015946,"Trinidad and Tobago",1995-03-01,"Venezuela",1995-01-01,1,1,"Venezuela",1990-08-31,"Trinidad and Tobago",1962-10-23,1,1,8,8,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,0,NA,NA,0
"4552",NA,"TTO-AD-4",52,"2000",101,1999,101,52,"Q4_2012","Trinidad and Tobago","TTO-AD-4","Venezuela","VEN","Biscuits (Sweetened and Unsweetened)","1/27/99","3/21/00","3/21/00","A","A","4/12/00","AVD","7/18/00","7/18/00","T","T",".",".",".",".",".",".",".",".",10,10,1,7,1,1,0.11292307,0.217589154,94.18470337,42.07023048,1,5383.521802,4091.632001,6808976089,97974136437,50.00280776,22.9117089,2.027936414,4.725817153,"1/27/99",1999-01-27,1999-01-27,1820,1175,2000-04-12,8154315708,1.17e+11,59.21874614,29.74421966,104.5637865,47.85722155,6430.949785,4799.646018,1.412957799,4.210018277,"Trinidad and Tobago",1995-03-01,"Venezuela",1995-01-01,1,1,"Venezuela",1990-08-31,"Trinidad and Tobago",1962-10-23,1,1,7,7,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"4554",NA,"TTO-AD-6",52,"1999",800,1999,800,52,"Q4_2012","Trinidad and Tobago","TTO-AD-7","Thailand","THA","Portland Grey Cement","5/11/99","9/2/99","9/2/99","A","A","11/2/99","AVD","3/2/00","3/2/00","A","A","3/2/00","AVD","12/13/11","2011","AVD","152.84","152.84","G/ADP/N/65/TTO",10,10,1,9,1,1,0.11292307,3.023915411,94.18470337,104.0235932,0,5383.521802,1989.994923,6808976089,1.23e+11,50.00280776,58.29765213,2.027936414,9.391839512,"5/11/99",1999-05-11,1999-05-11,548,1279,1999-11-02,6808976089,1.23e+11,50.00280776,58.29765213,94.18470337,104.0235932,5383.521802,1989.994923,2.027936414,9.391839512,"Trinidad and Tobago",1995-03-01,"Thailand ",1995-01-01,1,1,"Thailand",1982-11-20,"Trinidad and Tobago",1962-10-23,1,1,9,9,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0,NA,NA,0
"4555",NA,"TTO-AD-7",52,"2000",750,1999,750,52,"Q4_2012","Trinidad and Tobago","TTO-AD-6","India","IND","Polypropylene Rope","5/18/99","1/24/00","1/24/00","A","A","2/22/00","AVD","5/11/01","5/11/01","A","A","3/26/01","AVD","3/27/06","2006","AVD","70","70","G/ADP/N/78/TTO",10,10,1,9,1,1,0.11292307,1.418164643,94.18470337,24.38790891,1,5383.521802,455.4735407,6808976089,4.67e+11,50.00280776,11.25469183,2.027936414,24.50227807,"5/18/99",1999-05-18,1999-05-18,425,1286,2000-02-22,8154315708,4.77e+11,59.21874614,12.77323297,104.5637865,26.43729384,6430.949785,457.2835418,1.412957799,23.02185278,"Trinidad and Tobago",1995-03-01,"India ",1995-01-01,1,1,"India",1948-07-08,"Trinidad and Tobago",1962-10-23,1,1,9,9,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,0,NA,NA,0
"4573",NA,"TUR-AD-113",640,"2003",750,2002,750,640,"Q4_2012","Turkey","TUR-AD-113","India","IND","Polyester Synthetic Staple Fibers","4/26/02","1/20/03","1/20/03","A","A","2/3/03","AVD","MI","MI","A","A","7/29/03","AVD","IF","IF","AVD","16.5","23.9","G/ADP/N/112/TUR",7,8,1,9,1,1,0.812235772,1.062797391,48.80008255,29.00009028,1,3576.227855,486.640454,2.33e+11,5.24e+11,25.21730972,14.01854169,11.70692806,20.69574147,"4/26/02",2002-04-26,2002-04-26,1499,1201,2003-02-03,3.03e+11,6.18e+11,22.99463309,14.6902912,47.03271799,30.06518498,4595.287775,565.335483,11.39074262,20.7427547,"Turkey ",1995-03-26,"India ",1995-01-01,1,1,"India",1948-07-08,"Turkey",1951-10-17,1,1,9,9,7,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"4575",NA,"TUR-AD-115",640,"2003",800,2002,800,640,"Q4_2012","Turkey","TUR-AD-113","Thailand","THA","Polyester Synthetic Staple Fibers","4/26/02","1/20/03","1/20/03","A","A","2/3/03","AVD","MI","MI","A","A","7/29/03","AVD","IF","IF","AVD","15.8","22","G/ADP/N/112/TUR",7,8,1,9,1,1,0.812235772,3.641876593,48.80008255,121.6969998,0,3576.227855,1988.733736,2.33e+11,1.27e+11,25.21730972,64.1943345,11.70692806,9.434795124,"4/26/02",2002-04-26,2002-04-26,440,1201,2003-02-03,3.03e+11,1.43e+11,22.99463309,65.68064287,47.03271799,124.5796569,4595.287775,2211.874014,11.39074262,10.40756458,"Turkey ",1995-03-26,"Thailand ",1995-01-01,1,1,"Thailand",1982-11-20,"Turkey",1951-10-17,1,1,9,9,7,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"4576",NA,"TUR-AD-116",640,"2002",710,2002,710,640,"Q4_2012","Turkey","TUR-AD-116","China","CHN","Pencils with Leads of Graphite and Pencils with Leads of Crayons Encased In a Rigid Sheath","5/8/02","7/16/02","7/16/02","A","A","7/26/02","SD","1/3/03","1/3/03","A","A","1/14/03","SD","IF","IF","SD","MI","MI","G/ADP/N/105/TUR",7,8,1,-7,0,1,0.812235772,0.780540991,48.80008255,47.69731271,0,3576.227855,1135.447952,2.33e+11,1.45e+12,25.21730972,25.13437343,11.70692806,13.74274917,"5/8/02",2002-05-08,2002-05-08,1904,1213,2002-07-26,2.33e+11,1.45e+12,25.21730972,25.13437343,48.80008255,47.69731271,3576.227855,1135.447952,11.70692806,13.74274917,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"4577",NA,"TUR-AD-117",640,"2002",710,2002,710,640,"Q4_2012","Turkey","TUR-AD-117","China","CHN","Hook&Loop","5/8/02","7/16/02","7/16/02","A","A","7/26/02","SD","12/2/02","12/2/02","A","A","12/13/02","SD","IF","IF","SD","115","115","G/ADP/N/98/TUR",7,8,1,-7,0,1,0.812235772,0.780540991,48.80008255,47.69731271,0,3576.227855,1135.447952,2.33e+11,1.45e+12,25.21730972,25.13437343,11.70692806,13.74274917,"5/8/02",2002-05-08,2002-05-08,1904,1213,2002-07-26,2.33e+11,1.45e+12,25.21730972,25.13437343,48.80008255,47.69731271,3576.227855,1135.447952,11.70692806,13.74274917,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,0,NA,NA,0
"4595",NA,"TUR-AD-133",640,"2003",820,2003,820,640,"Q4_2012","Turkey","TUR-AD-133","Malaysia","MYS","Vulcanised Rubber Thread and Cord","4/11/03","MI","MI","A","A","7/31/03","AVD","MI","MI","A","A","1/29/04","AVD","IF","IF","AVD","11.6","16.9","G/ADP/N/119/TUR",7,8,1,3,0,1,0.801607839,2.396832232,47.03271799,194.1951291,0,4595.287775,4427.459737,3.03e+11,1.1e+11,22.99463309,106.9434461,11.39074262,9.306085216,"4/11/03",2003-04-11,2003-04-11,7939,28,2003-07-31,3.03e+11,1.1e+11,22.99463309,106.9434461,47.03271799,194.1951291,4595.287775,4427.459737,11.39074262,9.306085216,"Turkey ",1995-03-26,"Malaysia ",1995-01-01,1,1,"Malaysia",1957-10-24,"Turkey",1951-10-17,1,1,3,4,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4597",NA,"TUR-AD-135",640,"2003",710,2003,710,640,"Q4_2012","Turkey","TUR-AD-135","China","CHN","Ball Point Pens","5/22/03","MI","MI","A","A","9/4/03","SD","2/18/04","2/18/04","A","A","3/2/04","SD","IF","IF","SD","MI","MI","G/ADP/N/119/TUR",7,8,1,-7,0,1,0.801607839,0.643643193,47.03271799,56.93216421,0,4595.287775,1273.640744,3.03e+11,1.64e+12,22.99463309,29.5575468,11.39074262,12.7973531,"5/22/03",2003-05-22,2003-05-22,68,69,2003-09-04,3.03e+11,1.64e+12,22.99463309,29.5575468,47.03271799,56.93216421,4595.287775,1273.640744,11.39074262,12.7973531,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4598",NA,"TUR-AD-136",640,"2003",710,2003,710,640,"Q4_2012","Turkey","TUR-AD-136","China","CHN","Propelling or Sliding Pencils","5/22/03","MI","MI","A","A","9/4/03","SD","2/18/04","2/18/04","A","A","3/2/04","SD","IF","IF","SD","MI","MI","G/ADP/N/119/TUR",7,8,1,-7,0,1,0.801607839,0.643643193,47.03271799,56.93216421,0,4595.287775,1273.640744,3.03e+11,1.64e+12,22.99463309,29.5575468,11.39074262,12.7973531,"5/22/03",2003-05-22,2003-05-22,68,69,2003-09-04,3.03e+11,1.64e+12,22.99463309,29.5575468,47.03271799,56.93216421,4595.287775,1273.640744,11.39074262,12.7973531,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4599",NA,"TUR-AD-137",640,"2003",710,2003,710,640,"Q4_2012","Turkey","TUR-AD-137","China","CHN","Glass Lid/Cover","7/4/03","MI","MI","A","A","9/4/03","SD","MI","MI","A","A","12/20/03","SD","IF","IF","SD","MI","MI","G/ADP/N/112/TUR",7,8,1,-7,0,1,0.801607839,0.643643193,47.03271799,56.93216421,0,4595.287775,1273.640744,3.03e+11,1.64e+12,22.99463309,29.5575468,11.39074262,12.7973531,"7/4/03",2003-07-04,2003-07-04,111,112,2003-09-04,3.03e+11,1.64e+12,22.99463309,29.5575468,47.03271799,56.93216421,4595.287775,1273.640744,11.39074262,12.7973531,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0,NA,NA,0
"4608",NA,"TUR-AD-145",640,"2004",710,2003,710,640,"Q4_2012","Turkey","TUR-AD-145","China","CHN","Baby Carriages","12/20/03","MI","MI","A","A","2/28/04","SD","MI","MI","A","A","8/1/04","SD","IF","IF","SD","MI","MI","MI",7,8,1,-7,0,1,0.801607839,0.643643193,47.03271799,56.93216421,0,4595.287775,1273.640744,3.03e+11,1.64e+12,22.99463309,29.5575468,11.39074262,12.7973531,"12/20/03",2003-12-20,2003-12-20,280,281,2004-02-28,3.92e+11,1.93e+12,23.5515583,34.08005361,49.73717672,65.51084195,5866.744711,1490.380055,10.91845022,13.39314276,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4621",NA,"TUR-AD-157",640,"2004",780,2004,780,640,"Q4_2012","Turkey","TUR-AD-155","Sri Lanka","LKA","Bicycle Tires","3/11/04","MI","MI","A","A","6/2/04","AVD","MI","MI","A","A","9/27/04","AVD","IF","IF","AVD","50","50","G/ADP/N/126/TUR",7,8,1,5,0,1,0.655002395,2.201663399,49.73717672,79.4829449,0,5866.744711,1063.160584,3.92e+11,20662525941,23.5515583,35.33090273,10.91845022,12.54380414,"3/11/04",2004-03-11,2004-03-11,3407,363,2004-06-02,3.92e+11,20662525941,23.5515583,35.33090273,49.73717672,79.4829449,5866.744711,1063.160584,10.91845022,12.54380414,"Turkey ",1995-03-26,"Sri Lanka",1995-01-01,1,1,"Sri Lanka",1948-07-29,"Turkey",1951-10-17,1,1,5,6,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4625",NA,"TUR-AD-160",640,"2004",780,2004,780,640,"Q4_2012","Turkey","TUR-AD-158","Sri Lanka","LKA","Bicycle Tubes","3/11/04","MI","MI","A","A","6/2/04","AVD","MI","MI","A","A","9/27/04","AVD","IF","IF","AVD","44","44","G/ADP/N/126/TUR",7,8,1,5,0,1,0.655002395,2.201663399,49.73717672,79.4829449,0,5866.744711,1063.160584,3.92e+11,20662525941,23.5515583,35.33090273,10.91845022,12.54380414,"3/11/04",2004-03-11,2004-03-11,3407,363,2004-06-02,3.92e+11,20662525941,23.5515583,35.33090273,49.73717672,79.4829449,5866.744711,1063.160584,10.91845022,12.54380414,"Turkey ",1995-03-26,"Sri Lanka",1995-01-01,1,1,"Sri Lanka",1948-07-29,"Turkey",1951-10-17,1,1,5,6,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0,NA,NA,0
"4636",NA,"TUR-AD-170",640,"2005",710,2004,710,640,"Q4_2012","Turkey","TUR-AD-170","China","CHN","New Pneumatic Tires of Rubber","8/20/04","MI","MI","A","A","3/10/05","AVD","MI","MI","A","A","8/20/05","AVD","IF","IF","AVD","60","87","G/ADP/N/139/TUR",7,8,1,-7,0,1,0.655002395,0.539893236,49.73717672,65.51084195,0,5866.744711,1490.380055,3.92e+11,1.93e+12,23.5515583,34.08005361,10.91845022,13.39314276,"8/20/04",2004-08-20,2004-08-20,524,525,2005-03-10,4.83e+11,2.26e+12,21.85537622,37.06949052,47.20687977,68.61870494,7129.584878,1731.125235,10.79549394,12.12302312,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,0,NA,NA,0
"4644",NA,"TUR-AD-178",640,"2005",710,2004,710,640,"Q4_2012","Turkey","TUR-AD-178","China","CHN","Woven Pile Fabrics and Chenille Fabrics (Other Than Fabrics)","12/10/04","MI","MI","A","A","7/28/05","AVD","MI","MI","A","A","1/27/06","SD","1/27/11","2011","SD","MI","MI","G/ADP/N/145/TUR",7,8,1,-7,0,1,0.655002395,0.539893236,49.73717672,65.51084195,0,5866.744711,1490.380055,3.92e+11,1.93e+12,23.5515583,34.08005361,10.91845022,13.39314276,"12/10/04",2004-12-10,2004-12-10,636,637,2005-07-28,4.83e+11,2.26e+12,21.85537622,37.06949052,47.20687977,68.61870494,7129.584878,1731.125235,10.79549394,12.12302312,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,0,NA,NA,0
"4698",NA,"TUR-AD-231",640,"2010",710,2009,710,640,"Q4_2012","Turkey","TUR-AD-231","China","CHN","Certain Made-Up Textile Articles and Fabrics Made of Artificial or Synthetics Fibers","7/25/09","1/22/10","1/22/10","A","A","1/22/10","AVD","4/11/10","4/11/10","P","P","4/11/10","AVD","IF","IF","AVD","70.44","85.06","G/ADP/N/202/TUR",7,8,1,-7,0,1,0.385160262,0.448398182,47.73824165,49.0212234,1,8626.398166,3748.504063,6.15e+11,4.99e+12,23.3164288,26.71609478,9.346929829,10.3331503,"7/25/09",2009-07-25,2009-07-25,NA,NA,2010-01-22,7.31e+11,5.93e+12,21.20914139,29.396777,47.96891999,55.03337471,10135.74889,4433.340886,9.64831553,10.09522,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,0,NA,NA,0
"4701",NA,"TUR-AD-234",640,"2010",710,2010,710,640,"Q4_2012","Turkey","TUR-AD-234","China","CHN","Glass Fiber Reinforcement Materials","1/22/10","7/21/10","7/21/10","A","A","7/21/10","AVD","12/31/10","12/31/10","A","A","12/31/10","AVD","IF","IF","AVD","20.2","23.75","G/ADP/N/209/TUR",7,8,1,-7,0,1,0.436326988,0.456645176,47.96891999,55.03337471,1,10135.74889,4433.340886,7.31e+11,5.93e+12,21.20914139,29.396777,9.64831553,10.09522,"1/22/10",2010-01-22,2010-01-22,NA,NA,2010-07-21,7.31e+11,5.93e+12,21.20914139,29.396777,47.96891999,55.03337471,10135.74889,4433.340886,9.64831553,10.09522,"Turkey ",1995-03-26,"China ",2001-12-11,1,1,NA,NA,"Turkey",1951-10-17,1,NA,-7,0,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,0,NA,NA,0
"4848",NA,"USA-AD-732",2,"1995",360,1995,360,2,"Q4_2012","USA","USA-AD-732","Romania","ROU","Circular-Welded Non-Alloy Steel Pipe","5/3/95","11/30/95","6/28/95","A","A","11/30/95","AVD","5/14/96","7/8/96","A","N",".",".",".",".",".",".",".",".",10,10,1,5,0,1,3.862870077,3.322267696,22.38256785,60.82927135,0,28781.94969,1563.949628,7.66e+12,35477055619,10.60542797,27.61649809,1.607811468,21.42585789,"5/3/95",1995-05-03,1995-05-03,910,833,1995-11-30,7.66e+12,35477055619,10.60542797,27.61649809,22.38256785,60.82927135,28781.94969,1563.949628,1.607811468,21.42585789,"United States of America",1995-01-01,"Romania ",1995-01-01,1,1,"Romania",1971-11-14,"United States of America",1948-01-01,1,1,5,5,10,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
