"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"68","CUB-1944","A2.9-202",40,"CUB","Grau San Martin","10/10/1944","10/10/1948","13/9/1882","1969",1944-10-10,1948-10-10,0,1,0,1,1,"M",1882-09-13,1882,NA,1969
"69","CUB-1948","A2.9-205",40,"CUB","Prio Socarres","10/10/1948","10/03/1952","14/7/1903","1977",1948-10-10,1952-03-10,0,3,6,0,1,"M",1903-07-14,1903,NA,1977
"70","CUB-1952","A2.9-208",40,"CUB","Batista","10/03/1952","01/01/1959","16/1/1901","1973",1952-03-10,1959-01-01,1,3,4,1,1,"M",1901-01-16,1901,NA,1973
"71","CUB-1959","A2.9-211",40,"CUB","Castro","02/01/1959","31/12/2004","13/8/1927","-777",1959-01-02,2004-12-31,1,-888,0,0,-888,"M",1927-08-13,1927,NA,-777
"72","HAI-1874","A2.9-214",41,"HAI","Rameau","11/06/1874","15/04/1876","1828","15/04/1876",1874-06-11,1876-04-15,1,3,6,0,3,"M",NA,1828,1876-04-15,1876
"73","HAI-1876","A2.9-217",41,"HAI","Canal","23/04/1876","17/07/1879","1832","1905",1876-04-23,1879-07-17,1,3,-999,0,1,"M",NA,1832,NA,1905
"74","HAI-1879-1","A2.9-220",41,"HAI","Herrise","17/07/1879","26/07/1879","-999","-999",1879-07-17,1879-07-26,1,1,0,0,2,"M",NA,NA,NA,NA
"75","HAI-1879-2","A2.9-223",41,"HAI","Lamothe","26/07/1879","02/10/1879","-999","-999",1879-07-26,1879-10-02,1,3,-999,0,2,"M",NA,NA,NA,NA
"76","HAI-1879-3","A2.9-226",41,"HAI","Salomon","23/10/1879","10/08/1888","1815","1888",1879-10-23,1888-08-10,1,3,-999,0,1,"M",NA,1815,NA,1888
"77","HAI-1888-1","A2.9-229",41,"HAI","Canal","10/08/1888","16/10/1888","1832","1905",1888-08-10,1888-10-16,1,1,0,1,1,"M",NA,1832,NA,1905
"78","HAI-1888-2","A2.9-232",41,"HAI","Legitime","16/10/1888","22/08/1889","1841","1935",1888-10-16,1889-08-22,1,3,-999,0,1,"M",NA,1841,NA,1935
"79","HAI-1889","A2.9-235",41,"HAI","Hippolyte","25/08/1889","24/03/1896","1827","1896",1889-08-25,1896-03-24,1,2,0,0,-777,"M",NA,1827,NA,1896
"80","HAI-1896","A2.9-238",41,"HAI","P. A. T. Simon","31/03/1896","12/05/1902","1835","1916",1896-03-31,1902-05-12,0,1,0,0,1,"M",NA,1835,NA,1916
"81","HAI-1902-1","A2.9-241",41,"HAI","Canal","26/05/1902","17/12/1902","1832","1905",1902-05-26,1902-12-17,1,3,-999,2,0,"M",NA,1832,NA,1905
"82","HAI-1902-2","A2.9-244",41,"HAI","Nord","17/12/1902","20/12/1908","1820","01/05/1910",1902-12-17,1908-12-20,1,3,-999,0,1,"M",NA,1820,1910-05-01,1910
"83","HAI-1908","A2.9-247",41,"HAI","A. Simon","20/12/1908","03/08/1911","1844","1923",1908-12-20,1911-08-03,1,3,-999,0,1,"M",NA,1844,NA,1923
"84","HAI-1911","A2.9-250",41,"HAI","Leconte","07/08/1911","08/08/1912","1854","1912",1911-08-07,1912-08-08,1,3,-999,0,3,"M",NA,1854,NA,1912
"85","HAI-1912","A2.9-253",41,"HAI","Tancred Auguste","08/08/1912","12/05/1913","1856","1913",1912-08-08,1913-05-12,1,2,0,0,-777,"M",NA,1856,NA,1913
"86","HAI-1913","A2.9-256",41,"HAI","Michel Oreste","12/05/1913","27/01/1914","1859","28/10/1918",1913-05-12,1914-01-27,0,3,-999,0,1,"M",NA,1859,1918-10-28,1918
"87","HAI-1914-1","A2.9-259",41,"HAI","Oreste Zamor","08/02/1914","19/10/1914","1861","1915",1914-02-08,1914-10-19,1,3,-999,0,3,"M",NA,1861,NA,1915
"88","HAI-1914-2","A2.9-262",41,"HAI","Theodore","19/10/1914","22/02/1915","1847","13/01/1917",1914-10-19,1915-02-22,1,3,-999,0,1,"M",NA,1847,1917-01-13,1917
"89","HAI-1915","A2.9-265",41,"HAI","Velbrun-Guillaume","04/03/1915","26/07/1915","-999","1915",1915-03-04,1915-07-26,1,3,-999,0,3,"M",NA,NA,NA,1915
"90","HAI-1934","A2.9-268",41,"HAI","Vincent","15/08/1934","15/05/1941","1874","03/09/1959",1934-08-15,1941-05-15,0,1,0,0,1,"M",NA,1874,1959-09-03,1959
"91","HAI-1941","A2.9-271",41,"HAI","Lescot","15/05/1941","11/01/1946","9/12/1883","21/10/1974",1941-05-15,1946-01-11,0,3,6,0,1,"M",1883-12-09,1883,1974-10-21,1974
"92","HAI-1946-1","A2.9-274",41,"HAI","Lavaud","11/01/1946","16/08/1946","1903","-999",1946-01-11,1946-08-16,1,1,0,0,0,"M",NA,1903,NA,NA
"93","HAI-1946-2","A2.9-277",41,"HAI","Estime","16/08/1946","10/05/1950","21/4/1900","20/07/1953",1946-08-16,1950-05-10,0,3,6,0,2,"M",1900-04-21,1900,1953-07-20,1953
"94","HAI-1950","A2.9-280",41,"HAI","Magloire","10/05/1950","12/12/1956","19/7/1907","2001",1950-05-10,1956-12-12,0,3,6,0,1,"M",1907-07-19,1907,NA,2001
"95","HAI-1956","A2.9-283",41,"HAI","Pierre-Louis","12/12/1956","3/2/1957","1900","-999",1956-12-12,1957-02-03,0,3,6,0,0,"M",NA,1900,NA,NA
"96","HAI-1957-1","A2.9-286",41,"HAI","Sylvain","07/02/1957","02/04/1957","1909","1987",1957-02-07,1957-04-02,0,3,6,0,2,"M",NA,1909,NA,1987
"97","HAI-1957-2","A2.9-289",41,"HAI","Cantave","02/04/1957","06/04/1957","1910","1967",1957-04-02,1957-04-06,1,1,0,0,0,"M",NA,1910,NA,1967
"98","HAI-1957-3","A2.9-292",41,"HAI","Executive council","06/04/1957","20/05/1957","-999","-999",1957-04-06,1957-05-20,0,1,0,0,0,"M",NA,NA,NA,NA
"99","HAI-1957-4","A2.9-295",41,"HAI","Cantave","20/05/1957","26/05/1957","4/7/1910","1967",1957-05-20,1957-05-26,1,3,6,1,1,"M",1910-07-04,1910,NA,1967
"100","HAI-1957-5","A2.9-298",41,"HAI","Fignole","26/05/1957","14/06/1957","12/11/1914","1986",1957-05-26,1957-06-14,1,3,6,0,1,"M",1914-11-12,1914,NA,1986
"101","HAI-1957-6","A2.9-301",41,"HAI","Kebreau","14/06/1957","15/10/1957","11/11/1909","1962",1957-06-14,1957-10-15,1,1,0,0,1,"M",1909-11-11,1909,NA,1962
"102","HAI-1957-7","A2.9-304",41,"HAI","Duvalier, Francois","15/10/1957","22/04/1971","14/4/1907","1971",1957-10-15,1971-04-22,0,2,0,0,-777,"M",1907-04-14,1907,NA,1971
"103","HAI-1971","A2.9-307",41,"HAI","Duvalier, Jean-","22/04/1971","07/02/1986","3/7/1951","-777",1971-04-22,1986-02-07,0,3,6,0,1,"M",1951-07-03,1951,NA,-777
"104","HAI-1986","A2.9-310",41,"HAI","Namphy","07/02/1986","07/02/1988","2/11/1932","-777",1986-02-07,1988-02-07,1,1,0,0,2,"M",1932-11-02,1932,NA,-777
"105","HAI-1988-1","A2.9-313",41,"HAI","Manigat","07/02/1988","20/06/1988","16/8/1930","-777",1988-02-07,1988-06-20,0,3,6,0,1,"M",1930-08-16,1930,NA,-777
"106","HAI-1988-2","A2.9-316",41,"HAI","Namphy","20/06/1988","17/09/1988","2/11/1932","-777",1988-06-20,1988-09-17,1,3,6,1,1,"M",1932-11-02,1932,NA,-777
"107","HAI-1988-3","A2.9-319",41,"HAI","Avril","17/09/1988","10/03/1990","1938","-777",1988-09-17,1990-03-10,1,3,2,0,1,"M",NA,1938,NA,-777
"108","HAI-1990-1","A2.9-322",41,"HAI","Abraham","10/03/1990","13/03/1990","1940","-777",1990-03-10,1990-03-13,0,1,0,0,0,"M",NA,1940,NA,-777
"109","HAI-1990-2","A2.9-325",41,"HAI","Pascal-Troillet","13/03/1990","07/02/1991","13/8/1943","-777",1990-03-13,1991-02-07,0,1,0,0,2,"F",1943-08-13,1943,NA,-777
"110","HAI-1991-1","A2.9-328",41,"HAI","Aristide","07/02/1991","30/09/1991","15/7/1953","-777",1991-02-07,1991-09-30,0,3,6,0,2,"M",1953-07-15,1953,NA,-777
"111","HAI-1991-2","A2.9-331",41,"HAI","Cedras","30/09/1991","14/10/1994","1949","-777",1991-09-30,1994-10-14,1,4,9,0,1,"M",NA,1949,NA,-777
"112","HAI-1994","A2.9-334",41,"HAI","Aristide","15/10/1994","07/02/1996","15/7/1953","-777",1994-10-15,1996-02-07,2,1,0,1,0,"M",1953-07-15,1953,NA,-777
"113","HAI-1996","A2.9-337",41,"HAI","Preval","07/02/1996","07/02/2001","1943","-777",1996-02-07,2001-02-07,0,1,0,0,0,"M",NA,1943,NA,-777
"114","HAI-2001","A2.9-340",41,"HAI","Aristide","08/02/2001","29/02/2004","15/7/1953","-777",2001-02-08,2004-02-29,0,3,3,2,1,"M",1953-07-15,1953,NA,-777
"115","HAI-2004","A2.9-343",41,"HAI","Boniface Alexandre","29/02/2004","31/12/2004","1936","-777",2004-02-29,2004-12-31,0,-888,0,0,-888,"M",NA,1936,NA,-777
"116","DOM-1874","A2.9-346",42,"DOM","Gonzalez","02/01/1874","23/02/1876","1840","1915",1874-01-02,1876-02-23,1,3,-999,0,0,"M",NA,1840,NA,1915
"117","DOM-1876-1","A2.9-349",42,"DOM","Villanueva","24/02/1876","03/03/1876","-999","1920",1876-02-24,1876-03-03,1,3,6,0,1,"M",NA,NA,NA,1920
