"","year","ccode","polity2","democ"
"675",1955,630,-10,0
"676",1955,645,-4,1
"677",1955,666,10,10
"678",1955,325,10,10
"679",1955,663,-1,3
"680",1955,740,10,10
"681",1955,812,2,-88
"682",1955,450,-6,0
"683",1955,660,2,4
"684",1955,620,-7,0
"685",1955,212,10,10
"686",1955,70,-6,0
"687",1955,712,-7,0
"688",1955,775,8,8
"689",1955,790,-7,0
"690",1955,920,10,10
"691",1955,93,-8,0
"692",1955,385,10,10
"693",1955,210,10,10
"694",1955,698,-6,0
"695",1955,95,4,5
"696",1955,150,-9,0
"697",1955,135,-2,1
"698",1955,840,5,6
"699",1955,769,5,5
"700",1955,290,-7,0
"701",1955,235,-9,0
"702",1955,731,-7,0
"703",1955,732,-4,1
"704",1955,360,-7,0
"705",1955,817,-3,1
"706",1955,560,4,7
"707",1955,92,-6,0
"708",1955,670,-10,0
"709",1955,230,-7,0
"710",1955,780,7,7
"711",1955,380,10,10
"712",1955,225,10,10
"713",1955,652,7,7
"714",1955,713,-8,0
"715",1955,800,-3,1
"716",1955,640,4,5
"717",1955,200,10,10
"718",1955,165,8,8
"719",1955,2,10,10
"720",1955,364,-7,0
"721",1955,101,-3,1
"722",1955,678,-6,1
"723",1955,345,-7,0
"724",1956,700,-10,0
"725",1956,339,-9,0
"726",1956,160,-3,-88
"727",1956,900,10,10
"728",1956,305,10,10
"729",1956,211,10,10
"730",1956,760,-10,0
"731",1956,145,-3,1
"732",1956,140,5,6
"733",1956,355,-7,0
"734",1956,811,-9,0
"735",1956,20,10,10
"736",1956,155,5,5
"737",1956,710,-8,0
"738",1956,100,-5,1
"739",1956,94,10,10
"740",1956,40,-9,0
"741",1956,315,-7,0
"742",1956,390,10,10
"743",1956,42,-9,0
"744",1956,816,-9,0
"745",1956,130,2,4
"746",1956,651,-7,0
"747",1956,530,-9,0
"748",1956,375,10,10
"749",1956,220,10,10
"750",1956,265,-8,0
"751",1956,255,10,10
"752",1956,350,4,7
"753",1956,90,-6,0
"754",1956,41,-5,0
"755",1956,91,-1,1
"756",1956,310,NA,-66
"757",1956,750,9,9
"758",1956,850,0,3
"759",1956,205,10,10
"760",1956,630,-10,0
"761",1956,645,-4,1
"762",1956,666,10,10
"763",1956,325,10,10
"764",1956,663,-1,3
"765",1956,740,10,10
"766",1956,812,4,-88
"767",1956,450,-6,0
"768",1956,660,2,4
"769",1956,620,-7,0
"770",1956,212,10,10
"771",1956,70,-6,0
"772",1956,712,-7,0
"773",1956,600,-5,1
"774",1956,775,8,8
"775",1956,790,-7,0
"776",1956,920,10,10
"777",1956,93,-8,0
"778",1956,385,10,10
"779",1956,210,10,10
"780",1956,698,-6,0
"781",1956,95,4,5
"782",1956,150,-9,0
"783",1956,135,5,5
"784",1956,840,5,6
"785",1956,769,8,8
"786",1956,290,-7,0
"787",1956,235,-9,0
"788",1956,731,-8,0
"789",1956,732,-4,1
"790",1956,360,-7,0
"791",1956,817,-3,1
"792",1956,560,4,7
"793",1956,92,-5,0
"794",1956,670,-10,0
"795",1956,230,-7,0
"796",1956,780,7,7
"797",1956,625,8,8
"798",1956,380,10,10
"799",1956,225,10,10
"800",1956,652,7,7
"801",1956,713,-8,0
"802",1956,800,-3,1
"803",1956,640,4,5
"804",1956,200,10,10
"805",1956,165,8,8
"806",1956,2,10,10
"807",1956,364,-7,0
"808",1956,101,-3,1
"809",1956,678,-6,1
"810",1956,345,-7,0
"811",1957,700,-10,0
"812",1957,339,-9,0
"813",1957,160,-1,3
"814",1957,900,10,10
"815",1957,305,10,10
"816",1957,211,10,10
"817",1957,760,-10,0
"818",1957,145,-3,1
"819",1957,140,5,6
"820",1957,355,-7,0
"821",1957,811,-9,0
"822",1957,20,10,10
"823",1957,155,5,5
"824",1957,710,-8,0
"825",1957,100,7,7
"826",1957,94,10,10
"827",1957,40,-9,0
"828",1957,315,-7,0
"829",1957,390,10,10
"830",1957,42,-9,0
"831",1957,816,-9,0
"832",1957,130,2,4
"833",1957,651,-7,0
"834",1957,530,-9,0
"835",1957,375,10,10
"836",1957,220,10,10
"837",1957,265,-8,0
"838",1957,255,10,10
"839",1957,350,4,7
"840",1957,90,-6,0
"841",1957,41,-5,0
"842",1957,91,-1,1
"843",1957,310,-7,0
"844",1957,750,9,9
"845",1957,850,-1,2
"846",1957,205,10,10
"847",1957,630,-10,0
"848",1957,645,-4,1
"849",1957,666,10,10
"850",1957,325,10,10
"851",1957,663,-9,0
"852",1957,740,10,10
"853",1957,812,6,-88
"854",1957,450,-6,0
"855",1957,660,2,4
"856",1957,620,-7,0
"857",1957,212,10,10
"858",1957,820,10,10
"859",1957,70,-6,0
"860",1957,712,-7,0
"861",1957,600,-5,1
"862",1957,775,8,8
"863",1957,790,-4,-88
"864",1957,920,10,10
"865",1957,93,-8,0
"866",1957,385,10,10
"867",1957,210,10,10
"868",1957,698,-10,0
"869",1957,95,4,5
"870",1957,150,-9,0
"871",1957,135,5,5
"872",1957,840,5,6
"873",1957,769,8,8
"874",1957,290,-7,0
"875",1957,235,-9,0
"876",1957,731,-8,0
"877",1957,732,-4,1
"878",1957,360,-7,0
"879",1957,817,-3,1
"880",1957,560,4,7
"881",1957,92,-5,0
"882",1957,670,-10,0
"883",1957,230,-7,0
"884",1957,780,7,7
"885",1957,625,8,8
"886",1957,380,10,10
"887",1957,225,10,10
"888",1957,652,7,7
"889",1957,713,-8,0
"890",1957,800,-3,1
"891",1957,640,4,5
"892",1957,200,10,10
"893",1957,165,8,8
"894",1957,2,10,10
"895",1957,364,-7,0
"896",1957,101,-3,1
"897",1957,678,-6,1
"898",1957,345,-7,0
"899",1958,700,-10,0
"900",1958,339,-9,0
"901",1958,160,-1,3
"902",1958,900,10,10
"903",1958,305,10,10
"904",1958,211,10,10
"905",1958,760,-10,0
"906",1958,145,-3,1
